id,value,feed_id,created_at,lat,lon,ele
0FXZT2TN5C41FV9VSNXC9VWFFG,72,3139067,2025-07-12 13:27:01 UTC,,,
0FXZT2WRJWWB6C5V5N8CHF0QKF,68,3139067,2025-07-12 13:27:08 UTC,,,
0FXZT2YVCSJ6HRY4TB3XVVNVTE,71,3139067,2025-07-12 13:27:14 UTC,,,
0FXZT310EBVTG81QEPYKFDPV81,69,3139067,2025-07-12 13:27:22 UTC,,,
0FXZT335W3AF660EVTJV471KRH,70,3139067,2025-07-12 13:27:29 UTC,,,
0FXZT35A21RWD9XXM25KFVD7WD,72,3139067,2025-07-12 13:27:36 UTC,,,
0FXZT37G7B865PMS0H5YFEJY92,71,3139067,2025-07-12 13:27:43 UTC,,,
0FXZT39P0A5PFC7HQ26HV1E8CH,72,3139067,2025-07-12 13:27:50 UTC,,,
0FXZT3BTTKWGJZ06FX0810HBPF,79,3139067,2025-07-12 13:27:57 UTC,,,
0FXZT3E0KMG78AMP9HX7ADNJZF,76,3139067,2025-07-12 13:28:04 UTC,,,
0FXZT3G5ZV4H87FA6W1RR0EB50,78,3139067,2025-07-12 13:28:11 UTC,,,
0FXZT3JAK2A44S685KFCZ52R99,77,3139067,2025-07-12 13:28:18 UTC,,,
0FXZT3MD44DXB38JM3FQH313ZV,75,3139067,2025-07-12 13:28:25 UTC,,,
0FXZT3PGB8PARDE5G5H0Q5KVMJ,75,3139067,2025-07-12 13:28:32 UTC,,,
0FXZT3RKH229DN1FSST7YHQ619,74,3139067,2025-07-12 13:28:39 UTC,,,
0FXZT3TP5N35K8NTGZFJNX15DT,70,3139067,2025-07-12 13:28:46 UTC,,,
0FXZT3WRSRDJ3RMV20BYT5KXKP,73,3139067,2025-07-12 13:28:52 UTC,,,
0FXZT3YVHPFTTQNN3A58F7B712,72,3139067,2025-07-12 13:28:59 UTC,,,
0FXZT40Z21B3FK3RKDB7NFSEPR,70,3139067,2025-07-12 13:29:06 UTC,,,
0FXZT432PV32E2Z4TKG70JZ7B7,67,3139067,2025-07-12 13:29:13 UTC,,,
0FXZT4563Q9F6J908EVA8TEMVP,67,3139067,2025-07-12 13:29:20 UTC,,,
0FXZT478ZNET12BWY4N5EPJ0MN,69,3139067,2025-07-12 13:29:27 UTC,,,
0FXZT49BNZZMKYAX7V7GK5V2W6,69,3139067,2025-07-12 13:29:34 UTC,,,
0FXZT4BFDWV27K3XGTMJBGQ8HT,69,3139067,2025-07-12 13:29:41 UTC,,,
0FXZT4DMBA8VMDXG6E1BYHHXWA,68,3139067,2025-07-12 13:29:48 UTC,,,
0FXZT4FPG318Q22RACPCD40EMF,65,3139067,2025-07-12 13:29:54 UTC,,,
0FXZT4HW7CRF0XEHBDFH26C4B4,68,3139067,2025-07-12 13:30:02 UTC,,,
0FXZT4M3GR0W2MSZM6MM5WHBEP,68,3139067,2025-07-12 13:30:09 UTC,,,
0FXZT4PDEQH8FS2JBJZHD1WVTM,65,3139067,2025-07-12 13:30:17 UTC,,,
0FXZT4RN5P5V2HQEY011AW8JN1,68,3139067,2025-07-12 13:30:24 UTC,,,
0FXZT4TXK5Q0NND77BJ0AR3DXX,65,3139067,2025-07-12 13:30:31 UTC,,,
0FXZT4X34EXH9NGB23B9ATG9XP,68,3139067,2025-07-12 13:30:38 UTC,,,
0FXZT4ZBDYFBDDWN4CNCRJSZDT,66,3139067,2025-07-12 13:30:46 UTC,,,
0FXZT51K5YJ682FQCYS8EAFCEK,68,3139067,2025-07-12 13:30:53 UTC,,,
0FXZT53SZCBBD44SM719X0W4BQ,65,3139067,2025-07-12 13:31:00 UTC,,,
0FXZT5609B0BTY8T3DDGC8DD3D,65,3139067,2025-07-12 13:31:08 UTC,,,
0FXZT5876BT1JM0J7CMVS51RGJ,68,3139067,2025-07-12 13:31:15 UTC,,,
0FXZT5ADKV5Y9H870K9E565RY4,68,3139067,2025-07-12 13:31:22 UTC,,,
0FXZT5CQHPQ5308S5SRGE9ZCXY,68,3139067,2025-07-12 13:31:30 UTC,,,
0FXZT5EZWQCEH5260NANPQ6X35,68,3139067,2025-07-12 13:31:37 UTC,,,
0FXZT5H9AX37370E5PSB4YXCHR,68,3139067,2025-07-12 13:31:45 UTC,,,
0FXZT5KF2D7RASRMECF31R1MJV,68,3139067,2025-07-12 13:31:52 UTC,,,
0FXZT5NPBS6P0MBT62KQJKRMBG,68,3139067,2025-07-12 13:31:59 UTC,,,
0FXZT5QXXSNRYRJ489AGTJKKDA,65,3139067,2025-07-12 13:32:06 UTC,,,
0FXZT66Z4NF6NBWPARA91T4A26,39,3139067,2025-07-12 13:32:56 UTC,,,
0FXZT691YVDABY44NNQ9NBST9B,34,3139067,2025-07-12 13:33:02 UTC,,,
0FXZT6B56P5BKJP04PCC8PSWAW,32,3139067,2025-07-12 13:33:09 UTC,,,
0FXZT6D8PF44FKRCFW8RPYHF0F,36,3139067,2025-07-12 13:33:16 UTC,,,
0FXZT6FCFVD86G6773QN9NE1SZ,35,3139067,2025-07-12 13:33:23 UTC,,,
0FXZT6HGXHKQY1XQG448XAZ4EB,35,3139067,2025-07-12 13:33:30 UTC,,,
0FXZT6KN5J4KQR7PVRM4TKP2TT,78,3139067,2025-07-12 13:33:37 UTC,,,
0FXZT6NTTQ5ECY7P5JNXQ4GAJ8,78,3139067,2025-07-12 13:33:44 UTC,,,
0FXZT6R4J3YG0JGQ62VW5YXKPS,35,3139067,2025-07-12 13:33:52 UTC,,,
0FXZT6TDJYGXA5N62EZ9E9C2S0,65,3139067,2025-07-12 13:33:59 UTC,,,
0FXZT6WQ8Z6DDE1G0F689KBWQF,78,3139067,2025-07-12 13:34:07 UTC,,,
0FXZT6YWTY26YWRKAFAP1YGC61,71,3139067,2025-07-12 13:34:14 UTC,,,
0FXZT713EP5HT4GRSFXW91FRZZ,76,3139067,2025-07-12 13:34:21 UTC,,,
0FXZT73D98KPC7C6V0B8X0AWVJ,76,3139067,2025-07-12 13:34:29 UTC,,,
0FXZT75KHJ12ZJYEPPSX1AQ4YV,71,3139067,2025-07-12 13:34:36 UTC,,,
0FXZT77X215TFVE26QNB6KDKQR,75,3139067,2025-07-12 13:34:44 UTC,,,
0FXZT79ZPWVDDPBGJK9JTHS10T,71,3139067,2025-07-12 13:34:50 UTC,,,
0FXZT7C3PQGVV5AXYKTNEHR841,73,3139067,2025-07-12 13:34:57 UTC,,,
0FXZT7EA7VCVGR49CBSMSKHYAC,68,3139067,2025-07-12 13:35:05 UTC,,,
0FXZT7GGMZ9E98VRAVCF0JZA1F,71,3139067,2025-07-12 13:35:12 UTC,,,
0FXZT7JNTZ0VSDVKGHNMFY0MNS,32,3139067,2025-07-12 13:35:19 UTC,,,
0FXZT7MXYCCASQ5BT4HTJWXZMV,78,3139067,2025-07-12 13:35:26 UTC,,,
0FXZT7Q3CPRZA4CAGK3Q8FQKM9,73,3139067,2025-07-12 13:35:33 UTC,,,
0FXZT7SDQYDHQ7VVXFF6VNXZBP,70,3139067,2025-07-12 13:35:41 UTC,,,
0FXZT7VM02FQSJZJRNE5PYNEQZ,70,3139067,2025-07-12 13:35:48 UTC,,,
0FXZT7XSXR151M14N27V01Y26H,76,3139067,2025-07-12 13:35:55 UTC,,,
0FXZT80EAN2KKF4DEVBD25SFR7,77,3139067,2025-07-12 13:36:04 UTC,,,
0FXZT82S98YKQFSPHJ1F9VQCK1,69,3139067,2025-07-12 13:36:12 UTC,,,
0FXZT850SJ3YYHP1SX6GBJ4387,72,3139067,2025-07-12 13:36:19 UTC,,,
0FXZT877QACG218KGSTMZ4QN4F,74,3139067,2025-07-12 13:36:26 UTC,,,
